ProductID,Product Name,Category,Target Customer,Description,Key Benefits,Interest Rate / Fees,Minimum Investment / Deposit,Currency Supported,Risk Level
31ce9241,Portfolio Management,Wealth Management,SMEs,Customized investment strategies,Low fees,2.5%,"$10,000",JPY,Medium
b1424b33,Personal Loan,Consumer Banking,Institutions,Unsecured loan for personal expenses,Flexible terms,None,"$1,000",Multi-currency,Medium
773d5cb5,Hedge Funds,Wealth Management,Institutions,"High-risk, high-return investment strategies",Liquidity,2.5%,"$5,000",EUR,Medium
69c1df0b,Debt Syndication,Investment Banking,Large Corporations,Raising capital through debt instruments,Tax benefits,7.5%,"$1,000",Multi-currency,Medium
db15a0b3,Private Equity Funding,Investment Banking,SMEs,Advisory on private capital raising,Flexible terms,Variable,Varies,EUR,Low
940cf43c,Commodity Hedging,Treasury & Risk Management,Retail,Hedging strategies for commodity price risks,Flexible terms,2.5%,"$50,000",EUR,High
b6f576f7,Debit Card,Consumer Banking,Institutions,Linked to bank account for purchases,Flexible terms,2.5%,"$50,000",EUR,Medium
4cba4b1b,Corporate Credit Card,Corporate Banking,Large Corporations,Expense management card for businesses,High returns,5.0%,"$50,000",EUR,Low
cb70a4da,Asset Securitization,Investment Banking,Institutions,Converting assets into marketable securities,High returns,None,Varies,JPY,High
86aa906d,Home Loan,Consumer Banking,Institutions,Loan for purchasing or renovating a home,Low fees,Variable,"$1,000",JPY,Medium
70a74a57,Interest Rate Swaps,Treasury & Risk Management,SMEs,Derivative for managing interest rate risk,Tax benefits,7.5%,"$50,000",JPY,High
8d6e6547,Structured Finance,Investment Banking,Institutions,Complex financial solutions for businesses,Liquidity,5.0%,"$10,000",JPY,High
b99f47da,Hedge Funds,Wealth Management,Large Corporations,"High-risk, high-return investment strategies",Liquidity,Variable,"$10,000",USD,High
4a2e2f35,Personal Loan,Consumer Banking,Large Corporations,Unsecured loan for personal expenses,Low fees,7.5%,"$50,000",Multi-currency,High
840a3b0d,Student Loan,Consumer Banking,SMEs,Education loan with flexible repayment options,High returns,2.5%,"$1,000",JPY,Low
22f92037,Estate Planning,Wealth Management,Institutions,Legal and financial planning for inheritance,Flexible terms,7.5%,"$50,000",EUR,Low
ff80c1f7,Supply Chain Finance,Corporate Banking,Retail,Financing for suppliers and vendors,Flexible terms,Variable,"$10,000",USD,High
09eb5221,Commodity Hedging,Treasury & Risk Management,Institutions,Hedging strategies for commodity price risks,Tax benefits,Variable,"$10,000",JPY,Low
